date,日最高温,日降水量,日均风速,高温日,city
2025-08-05,33.3,1.4,7.295833333333333,1,南京
2025-08-06,33.6,0.5,9.304166666666667,1,南京
2025-08-07,33.0,0.6,8.933333333333334,1,南京
2025-08-08,32.0,4.4,8.120833333333334,1,南京
2025-08-09,32.8,1.3,10.141666666666667,1,南京
2025-08-10,30.5,13.6,6.383333333333333,1,南京
2025-08-11,27.8,30.6,5.254166666666666,0,南京
2025-08-12,29.0,4.6,5.220833333333333,0,南京
2025-08-13,28.9,22.7,5.895833333333333,0,南京
2025-08-14,33.1,0.0,12.829166666666666,1,南京
2025-08-15,34.2,0.0,10.591666666666667,1,南京
2025-08-16,35.0,0.0,10.054166666666667,1,南京
2025-08-17,35.5,0.0,9.479166666666666,1,南京
2025-08-18,36.2,0.0,9.229166666666666,1,南京
2025-08-19,37.0,0.1,7.858333333333333,1,南京
2025-08-20,37.4,0.0,9.316666666666666,1,南京
2025-08-21,38.2,4.6,7.2625,1,南京
2025-08-22,37.6,0.5,7.8875,1,南京
2025-08-23,35.8,0.9,8.720833333333333,1,南京
2025-08-24,36.2,0.7,7.208333333333333,1,南京
2025-08-25,36.8,2.5,5.054166666666666,1,南京
2025-08-26,33.5,0.4,3.733333333333333,1,南京
2025-08-27,35.3,0.4,5.783333333333334,1,南京
2025-08-28,36.8,0.8,6.7749999999999995,1,南京
2025-08-29,38.3,0.0,7.183333333333334,1,南京
2025-08-30,34.7,17.6,4.970833333333333,1,南京
2025-08-31,31.0,4.4,6.3875,1,南京
2025-08-01,32.0,3.0,10.625,1,上海
2025-08-02,31.5,22.5,6.991666666666667,1,上海
2025-08-03,32.3,8.1,8.841666666666667,1,上海
2025-08-04,33.1,0.5,5.6375,1,上海
2025-08-05,32.6,0.3,9.245833333333334,1,上海
2025-08-06,33.8,3.3,8.579166666666667,1,上海
2025-08-07,34.8,0.0,6.970833333333334,1,上海
2025-08-08,35.9,0.1,7.470833333333334,1,上海
2025-08-09,36.4,0.3,9.129166666666666,1,上海
2025-08-10,35.5,2.1,7.383333333333333,1,上海
2025-08-11,33.4,5.6,4.3999999999999995,1,上海
2025-08-12,36.0,3.7,6.125,1,上海
2025-08-13,35.3,0.2,15.483333333333334,1,上海
2025-08-14,35.8,0.0,14.195833333333333,1,上海
2025-08-15,36.0,0.0,12.520833333333334,1,上海
2025-08-16,36.0,0.0,11.924999999999999,1,上海
2025-08-17,37.1,0.0,11.2875,1,上海
2025-08-18,36.3,0.9,11.754166666666668,1,上海
2025-08-19,37.5,0.8,10.525,1,上海
2025-08-20,37.8,0.5,7.170833333333333,1,上海
2025-08-21,39.0,0.0,5.758333333333333,1,上海
2025-08-22,37.8,0.0,6.908333333333334,1,上海
2025-08-23,39.1,0.2,6.675,1,上海
2025-08-24,40.1,3.5,7.533333333333334,1,上海
2025-08-25,36.8,3.5,6.645833333333333,1,上海
2025-08-26,33.0,9.2,3.6333333333333333,1,上海
2025-08-27,34.0,0.0,8.729166666666666,1,上海
2025-08-28,34.5,0.0,11.633333333333333,1,上海
2025-08-29,35.5,0.0,11.616666666666667,1,上海
2025-08-30,36.2,0.1,11.245833333333332,1,上海
2025-08-31,36.0,4.6,6.658333333333334,1,上海
